?b isMarriedTo ?a,?a isMarriedTo ?b
?a dealsWith ?c   Thunderbirds_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Lost_Highway_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Bandidas isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Bean_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Guilty_(2000_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Seven_Years_in_Tibet_(1997_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Fight_Club isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   King_Kong_Escapes isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Shattered_Glass_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Hey isLocatedIn _Cinderella!,?a dealsWith China
?a dealsWith ?c   Showgirls isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Go-Between_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Dracula_(1979_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Sum_of_All_Fears_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Hugo_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Medea_(1969_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Human_Face isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Reign_of_Fire_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Elizabeth_I_(TV_miniseries) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Return_to_Oz isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Dark_of_the_Sun isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Rendition_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Heart_of_America_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Big_Lebowski isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Edessa isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Such_a_Long_Journey_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   1900_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Moses_the_Lawgiver isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Narc_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Pirates_of_the_Caribbean_(film_series) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Gendarme_in_New_York isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Lake_Champlain isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Basic_Instinct_2 isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Eros_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Stage_Beauty isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Good_Girl isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Chocolat_(2000_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   200_Motels isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Investigating_Sex isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Kidnapping_of_the_President isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Deathwatch_(2002_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Victors_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Elvis_Has_Left_the_Building isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Escape_from_New_York isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   To_Die_For isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Helen_of_Troy_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Dracula_(2002_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Mulholland_Drive_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Broken_Angel_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Deal_(2008_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Ivanhoe_(1982_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_House_of_the_Spirits_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   2046_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   A_Midsummer_Night's_Dream_(1999_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Other_Side_of_the_Wind isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Mrs._Brown isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   A_Life_Less_Ordinary isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Penelope_(2006_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Drummer_(2007_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   I isLocatedIn _Robot_(film,?a dealsWith China
?a dealsWith ?c   Around_the_World_in_80_Days_(TV_miniseries) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Impromptu_(1991_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Affinity_Equity_Partners isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Gone_(2007_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Jordan hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Oman hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Pakistan hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   North_Korea hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Malaysia hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Yemen hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   United_Arab_Emirates hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Czech_Republic hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Switzerland hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Hungary hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Iraq hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   China hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Poland hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Luxembourg hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Burma hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Germany hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Kingdom_of_the_Netherlands hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Bulgaria hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Armenia hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Syria hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Iran hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Saudi_Arabia hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Greece hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Kuwait hasNeighbor ?c,?a dealsWith China
?a dealsWith ?c   Paul_Bohannan livesIn ?c,?a dealsWith China
?a dealsWith ?c   Jan_Burgers livesIn ?c,?a dealsWith China
?a dealsWith ?c   Pierre_Colas livesIn ?c,?a dealsWith China
?a dealsWith ?c   Roland_Emmerich livesIn ?c,?a dealsWith China
?a dealsWith ?c   C._R._Rao livesIn ?c,?a dealsWith China
?a dealsWith ?c   John_Moffat_(physicist) livesIn ?c,?a dealsWith China
?a dealsWith ?c   Swapan_Chattopadhyay livesIn ?c,?a dealsWith China
?a dealsWith ?c   Har_Gobind_Khorana livesIn ?c,?a dealsWith China
?a dealsWith ?c   J._B._S._Haldane livesIn ?c,?a dealsWith China
?a dealsWith ?c   Jonathan_Rhys_Meyers livesIn ?c,?a dealsWith China
?a dealsWith ?c   Sania_Mirza livesIn ?c,?a dealsWith China
?a dealsWith ?c   J._H._C._Whitehead livesIn ?c,?a dealsWith China
?a dealsWith ?c   Gian-Carlo_Rota livesIn ?c,?a dealsWith China
?a dealsWith ?c   Frank_Anscombe livesIn ?c,?a dealsWith China
?a dealsWith ?c   Arif_Zaman livesIn ?c,?a dealsWith China
?a dealsWith ?c   Albert_Jacquard livesIn ?c,?a dealsWith China
?a dealsWith ?c   Alexander_Mack livesIn ?c,?a dealsWith China
?a dealsWith ?c   Albert_Ernest_Kitson livesIn ?c,?a dealsWith China
?a dealsWith ?c   Abraham_Pais livesIn ?c,?a dealsWith China
?a dealsWith ?c   Princess_Durru_Shehvar livesIn ?c,?a dealsWith China
?a dealsWith ?c   Ernest_Everett_Just livesIn ?c,?a dealsWith China
?a dealsWith ?c   Pervez_Musharraf livesIn ?c,?a dealsWith China
?a dealsWith ?c   Richard_Brauer livesIn ?c,?a dealsWith China
?a dealsWith ?c   Arnold_Klebs livesIn ?c,?a dealsWith China
?a dealsWith ?c   Eberhard_Hopf livesIn ?c,?a dealsWith China
?a dealsWith ?c   Peter_van_de_Kamp livesIn ?c,?a dealsWith China
?a dealsWith ?c   Fan_Chung livesIn ?c,?a dealsWith China
?a dealsWith ?c   Hermann_Schwarz livesIn ?c,?a dealsWith China
?a dealsWith ?c   Szolem_Mandelbrojt livesIn ?c,?a dealsWith China
?a dealsWith ?c   Pehr_Victor_Edman livesIn ?c,?a dealsWith China
?a dealsWith ?c   Alexander_Oppenheim livesIn ?c,?a dealsWith China
?a dealsWith ?c   Brian_Mulroney livesIn ?c,?a dealsWith China
?a dealsWith ?c   Emil_Wolf livesIn ?c,?a dealsWith China
?a dealsWith ?c   Leopold_Infeld livesIn ?c,?a dealsWith China
?a dealsWith ?c   Dirk_Jan_Struik livesIn ?c,?a dealsWith China
?a dealsWith ?c   Mark_Oliphant livesIn ?c,?a dealsWith China
?a dealsWith ?c   Keith_J._Laidler livesIn ?c,?a dealsWith China
?a dealsWith ?c   Nathan_Rosen livesIn ?c,?a dealsWith China
?a dealsWith ?c   Jesse_R._Pitts livesIn ?c,?a dealsWith China
?a dealsWith ?c   Ralph_Kronig livesIn ?c,?a dealsWith China
?a dealsWith ?c   Rudolf_Jaenisch livesIn ?c,?a dealsWith China
?a dealsWith ?c   Mukarram_Jah livesIn ?c,?a dealsWith China
?a dealsWith ?c   Ivo_Banac livesIn ?c,?a dealsWith China
?a dealsWith ?c   Ryszard_Syski livesIn ?c,?a dealsWith China
?a dealsWith ?c   Raoul_Bott livesIn ?c,?a dealsWith China
?a dealsWith ?c   Francis_Simon livesIn ?c,?a dealsWith China
?a dealsWith ?c   Artur_Ekert livesIn ?c,?a dealsWith China
?a dealsWith ?c   Victor_Weisskopf livesIn ?c,?a dealsWith China
?a dealsWith ?c   Pantur_Silaban livesIn ?c,?a dealsWith China
?a dealsWith ?c   Per_Bak livesIn ?c,?a dealsWith China
?a dealsWith ?c   Stephen_Kuffler livesIn ?c,?a dealsWith China
?a dealsWith ?c   Saleem_Ali_(academic) livesIn ?c,?a dealsWith China
?a dealsWith ?c   Dimitri_Nanopoulos livesIn ?c,?a dealsWith China
?a dealsWith ?c   Adolf_Hitler livesIn ?c,?a dealsWith China
?a dealsWith ?c   Viktor_Meyer livesIn ?c,?a dealsWith China
?a dealsWith ?c   Johann_Radon livesIn ?c,?a dealsWith China
?a dealsWith ?c   Alan_Sokal livesIn ?c,?a dealsWith China
?a dealsWith ?c   Bruno_Touschek livesIn ?c,?a dealsWith China
?a dealsWith ?c   Stanley_Jeyaraja_Tambiah livesIn ?c,?a dealsWith China
?a dealsWith ?c   Paul_ErdQs livesIn ?c,?a dealsWith China
?a dealsWith ?c   Rade_`erbed~ija livesIn ?c,?a dealsWith China
?a dealsWith ?c   John_Harsanyi livesIn ?c,?a dealsWith China
?a dealsWith ?c   Charles_K._Kao livesIn ?c,?a dealsWith China
?a dealsWith ?c   Arthur_Rudolf_Hantzsch livesIn ?c,?a dealsWith China
?a dealsWith ?c   Paris_Kanellakis livesIn ?c,?a dealsWith China
?a dealsWith ?c   Adolf_Hurwitz livesIn ?c,?a dealsWith China
?a dealsWith ?c   Kuala_Lumpur_International_Airport isConnectedTo ?c,?a dealsWith China
?a dealsWith ?c   London_Heathrow_Terminal_5 isConnectedTo ?c,?a dealsWith China
?a imports ?c   Syria exports ?c,?a dealsWith United_States
?a participatedIn ?c   ?c happenedIn Sinai_Peninsula,?a dealsWith United_States
?a participatedIn ?c   ?c happenedIn East_Timor,?a dealsWith United_States
?a dealsWith ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Portuguese-speaking_countries_and_territories,?a dealsWith United_States
?a dealsWith ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Member_states_of_the_Community_of_Portuguese_Language_Countries,?a dealsWith United_States
?a dealsWith ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Countries_in_South_America,?a dealsWith United_States
?a dealsWith ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_States_and_territories_established_in_1830,?a dealsWith United_States
?a dealsWith ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Member_states_of_Mercosur,?a dealsWith United_States
?a dealsWith ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Southern_Cone_countries,?a dealsWith United_States
?a dealsWith ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Member_states_of_the_Dutch_Language_Union,?a dealsWith United_States
?a dealsWith ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Countries_in_North_America,?a dealsWith United_States
?a dealsWith ?c   ?c exports wordnet_lumber_114943580,?a dealsWith United_States
?a dealsWith ?c   ?c exports wordnet_electricity_111449907,?a dealsWith United_States
?a dealsWith ?c   ?c isLocatedIn South_America,?a dealsWith United_States
?a dealsWith ?c   ?c imports wordnet_electricity_111449907,?a dealsWith United_States
?a dealsWith ?c   ?c hasOfficialLanguage Portuguese_language,?a dealsWith United_States
?a dealsWith ?c   ?c hasNeighbor United_States,?a dealsWith United_States
?a dealsWith ?c   David_Azrieli isCitizenOf ?c,?a dealsWith United_States
?a dealsWith ?c   Craig_Jamieson isCitizenOf ?c,?a dealsWith United_States
?a dealsWith ?c   Tsui_Lap-chee isCitizenOf ?c,?a dealsWith United_States
?a dealsWith ?c   Bertram_Fraser-Reid isCitizenOf ?c,?a dealsWith United_States
?a dealsWith ?c   Mount_Roraima isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   System_of_Cooperation_Among_the_American_Air_Forces isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Claro_Americas isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Lollapalooza isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Anaconda_(film) isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   KPMG isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Black_Robe_(film) isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Disney_Junior_(Latin_America) isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Cartoon_Network_(Latin_America) isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Uruguay_River isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Amazon_River isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Elektra_(2005_film) isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Driven isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   Anheuser-Busch_InBev isLocatedIn ?c,?a dealsWith United_States
?a dealsWith ?c   United_States hasNeighbor ?c,?a dealsWith United_States
?a hasNeighbor ?c   ?c isLocatedIn Caribbean,?a dealsWith United_States
?a hasNeighbor ?c   ?c isLocatedIn North_America,?a dealsWith United_States
?a hasNeighbor ?c   Cartoon_Network_(Latin_America) isLocatedIn ?c,?a dealsWith United_States
?a hasNeighbor ?c   Claro_Americas isLocatedIn ?c,?a dealsWith United_States
?a hasNeighbor ?c   System_of_Cooperation_Among_the_American_Air_Forces isLocatedIn ?c,?a dealsWith United_States
?a hasNeighbor ?c   Disney_Channel_(Latin_America) isLocatedIn ?c,?a dealsWith United_States
?a hasOfficialLanguage ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Languages_of_Spain,?a dealsWith United_States
?a isAffiliatedTo ?c   Saudi_detainees_at_Guantanamo_Bay playsFor ?c,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Living_people
?a isAffiliatedTo ?c   Trevor_Benjamin playsFor ?c,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Living_people
?a playsFor ?c   Trevor_Benjamin isAffiliatedTo ?c,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Living_people
?a hasWonPrize ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_award_106696483,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_person_100007846
?a wasBornIn ?c   ?c isLocatedIn Brazil,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Italy,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn France,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Germany,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Argentina,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Asia,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Poland,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Spain,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn South_America,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Scotland,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn England,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Africa,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Southeast_Region,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Lists_of_World_Heritage_Sites_in_Europe,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Netherlands,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn United_Kingdom,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn North_West_England,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Southeast_(Brazil),?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Ireland,?a hasGender male
?a wasBornIn ?c   ?c isLocatedIn Europe,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Cities_in_Scotland,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Port_cities_and_towns_of_the_Irish_Sea,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Port_cities_and_towns_in_England,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_administrative_district_108491826,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_commune_108541609,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Cities_in_the_Netherlands,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Port_cities_and_towns_of_the_Baltic_Sea,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Capital_cities_in_the_United_Kingdom,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Cities_in_France,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Port_cities_and_towns_of_the_North_Sea,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_location_100027167,?a hasGender male
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Port_cities_and_towns_in_Scotland,?a hasGender male
?a wasBornIn ?c   Partnership_for_Child_Development isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Wizz_Air isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Wikimania isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Central_European_Media_Enterprises isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   KPMG isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   2waytraffic isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Disney_Junior_(Latin_America) isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   2011_England_riots isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Cadbury isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Boeing_Defence_UK isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   University_of_Ulster isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Ultra_Music_Festival isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   de/Zeb/rolfes.schierenbeck.associates isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Istituto_Europeo_di_Design isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   BPP_Law_School isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   RAI isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   FareShare isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Imperial_War_Museum isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Diabetes_UK isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   de/Qantm isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Football_at_the_2012_Summer_Olympics isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   2012_Romanian_protests isLocatedIn ?c,?a hasGender male
?a wasBornIn ?c   Brazil hasCapital ?c,?a hasGender male
?a wasBornIn ?c   France hasCapital ?c,?a hasGender male
?a wasBornIn ?c   Roger_Joseph_Boscovich livesIn ?c,?a hasGender male
?a wasBornIn ?c   Ana_Pauker livesIn ?c,?a hasGender male
?a wasBornIn ?c   Andy_Miah livesIn ?c,?a hasGender male
?a wasBornIn ?c   Rade_`erbed~ija livesIn ?c,?a hasGender male
?a wasBornIn ?c   Ramon_Carnicer livesIn ?c,?a hasGender male
?a wasBornIn ?c   Abd_al-Wahhab_Al-Bayati livesIn ?c,?a hasGender male
?a wasBornIn ?c   2010_FINA_Swimming_World_Cup happenedIn ?c,?a hasGender male
?a wasBornIn ?c   2008_FINA_Swimming_World_Cup happenedIn ?c,?a hasGender male
?a wasBornIn ?c   2011_England_riots happenedIn ?c,?a hasGender male
?a wasBornIn ?c   Tibetan_Freedom_Concert happenedIn ?c,?a hasGender male
?a wasBornIn ?c   London_Heathrow_Terminal_1 isConnectedTo ?c,?a hasGender male
?a wasBornIn ?c   London_Heathrow_Terminal_5 isConnectedTo ?c,?a hasGender male
?a wasBornIn ?c   Linate_Airport isConnectedTo ?c,?a hasGender male
?a wasBornIn ?c   Independent_(politician) isLeaderOf ?c,?a hasGender male
?a diedIn ?c   ?c isLocatedIn England,?a hasGender male
?a diedIn ?c   ?c isLocatedIn United_Kingdom,?a hasGender male
?a diedIn ?c   ?c isLocatedIn Europe,?a hasGender male
?a diedIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_administrative_district_108491826,?a hasGender male
?a diedIn ?c   RAI isLocatedIn ?c,?a hasGender male
?a diedIn ?c   Magnum_Photos isLocatedIn ?c,?a hasGender male
?a diedIn ?c   2012_Romanian_protests isLocatedIn ?c,?a hasGender male
?a diedIn ?c   Czechoslovak_government-in-exile hasCapital ?c,?a hasGender male
?a diedIn ?c   Ana_Pauker livesIn ?c,?a hasGender male
?a diedIn ?c   Ramon_Carnicer livesIn ?c,?a hasGender male
?a diedIn ?c   London_Heathrow_Terminal_5 isConnectedTo ?c,?a hasGender male
?a graduatedFrom ?c   ?c isLocatedIn United_States,?a hasGender male
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_university_108286569,?a hasGender male
?a isCitizenOf ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Countries_in_Europe,?a hasGender male
?a isCitizenOf ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_country_108544813,?a hasGender male
?a isCitizenOf ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Member_states_of_the_Union_for_the_Mediterranean,?a hasGender male
?a isCitizenOf ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Member_states_of_the_United_Nations,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Battle_of_the_Bulge,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Fifth_Battle_of_Ypres,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Kosovo_War,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Siege_of_Malta_(World_War_II),?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Iraqi_no-fly_zones,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Batangas,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Gothic_Line,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Battle_of_Vella_Gulf,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn New_Guinea_campaign,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Indonesian_occupation_of_East_Timor,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Helmand_province_campaign,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Operation_Plunder,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Battle_of_Amiens_(1918),?a hasGender male
?a isCitizenOf ?c   ?c participatedIn 2003_invasion_of_Iraq,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Blockade_of_Germany,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Attack_on_Broome,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Boxer_Rebellion,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Spring_1945_offensive_in_Italy,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn French_Revolutionary_Wars,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Allied_invasion_of_Sicily,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn NATO_bombing_of_Yugoslavia,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Burma_Campaign_1944,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Normandy_landings,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Defence_of_the_Reich,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Operation_Overlord,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Operation_Market_Garden,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Operation_Enduring_Freedom,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Battle_of_the_Visayas,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Tunisia_Campaign,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Congo_Crisis,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Operation_Varsity,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Sierra_Leone_Civil_War,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Siberian_Intervention,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Moro_insurgency_in_the_Philippines,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Allied_invasion_of_Italy,?a hasGender male
?a isCitizenOf ?c   ?c participatedIn Battle_of_Timor,?a hasGender male
